"cty","Name","Fraction_Non-White_in_2010"
"cty13021","Bibb County, GA",0.5789
"cty37063","Durham County, NC",0.5788
"cty40001","Adair County, OK",0.5786
"cty48409","San Patricio County, TX",0.5783
"cty29510","St. Louis city, MO",0.5781
"cty06081","San Mateo County, CA",0.5774
"cty05123","St. Francis County, AR",0.5763
"cty35045","San Juan County, NM",0.5751
"cty48079","Cochran County, TX",0.575
"cty51685","Manassas Park city, VA",0.5747
"cty48495","Winkler County, TX",0.5747
"cty46071","Jackson County, SD",0.5737
"cty13179","Liberty County, GA",0.5731
"cty38005","Benson County, ND",0.5704
"cty35025","Lea County, NM",0.5698
"cty48279","Lamb County, TX",0.5693
"cty48153","Floyd County, TX",0.5692
"cty53021","Franklin County, WA",0.5675
"cty20209","Wyandotte County, KS",0.5672
"cty13093","Dooly County, GA",0.5669
"cty48107","Crosby County, TX",0.5668
"cty12011","Broward County, FL",0.5648
"cty13215","Muscogee County, GA",0.5635
"cty17031","Cook County, IL",0.5614
"cty35005","Chaves County, NM",0.5613
"cty49037","San Juan County, UT",0.561
"cty35049","Santa Fe County, NM",0.561
"cty04017","Navajo County, AZ",0.5609
"cty13135","Gwinnett County, GA",0.56
"cty20057","Ford County, KS",0.5599
"cty13303","Washington County, GA",0.5592
"cty06059","Orange County, CA",0.5587
"cty48055","Caldwell County, TX",0.5576
"cty51710","Norfolk city, VA",0.5574
"cty48095","Concho County, TX",0.5571
"cty48473","Waller County, TX",0.5542
"cty48245","Jefferson County, TX",0.554
"cty48177","Gonzales County, TX",0.5539
"cty22091","St. Helena Parish, LA",0.5538
"cty47075","Haywood County, TN",0.5519
"cty13225","Peach County, GA",0.5487
"cty48391","Refugio County, TX",0.548
"cty05035","Crittenden County, AR",0.5476
"cty45079","Richland County, SC",0.5468
"cty34031","Passaic County, NJ",0.5468
"cty37187","Washington County, NC",0.5466
"cty34039","Union County, NJ",0.5465
"cty48445","Terry County, TX",0.5457
"cty28029","Copiah County, MS",0.545
"cty01091","Marengo County, AL",0.5431
"cty48057","Calhoun County, TX",0.5419
"cty37007","Anson County, NC",0.5419
"cty48169","Garza County, TX",0.5416
"cty37165","Scotland County, NC",0.5408
"cty28113","Pike County, MS",0.5405
"cty12095","Orange County, FL",0.5403
"cty51700","Newport News city, VA",0.5399
"cty28061","Jasper County, MS",0.5396
"cty48475","Ward County, TX",0.5382
"cty02105","Hoonah-Angoon Census Area, AK",0.5381
"cty45027","Clarendon County, SC",0.5379
"cty13205","Mitchell County, GA",0.5364
"cty20055","Finney County, KS",0.5364
"cty13033","Burke County, GA",0.5349
"cty48325","Medina County, TX",0.5347
"cty51590","Danville city, VA",0.533
"cty06099","Stanislaus County, CA",0.5327
"cty01005","Barbour County, AL",0.5325
"cty05041","Desha County, AR",0.5324
"cty45085","Sumter County, SC",0.5308
"cty22033","East Baton Rouge Parish, LA",0.5305
"cty37079","Greene County, NC",0.5301
"cty22027","Claiborne Parish, LA",0.5299
"cty37051","Cumberland County, NC",0.5281
"cty45033","Dillon County, SC",0.5274
"cty48137","Edwards County, TX",0.527
"cty48321","Matagorda County, TX",0.5259
"cty22093","St. James Parish, LA",0.5259
"cty35043","Sandoval County, NM",0.5254
"cty51683","Manassas city, VA",0.5242
"cty13007","Baker County, GA",0.5242
"cty48481","Wharton County, TX",0.5232
"cty13099","Early County, GA",0.5231
"cty53077","Yakima County, WA",0.523
"cty02060","Bristol Bay Borough, AK",0.5226
"cty06013","Contra Costa County, CA",0.5225
"cty22017","Caddo Parish, LA",0.5216
"cty30005","Blaine County, MT",0.5213
"cty22047","Iberville Parish, LA",0.5212
"cty48469","Victoria County, TX",0.5211
"cty48003","Andrews County, TX",0.521
"cty06083","Santa Barbara County, CA",0.5208
"cty32003","Clark County, NV",0.5203
"cty12049","Hardee County, FL",0.5199
"cty36061","New York County, NY",0.5198
"cty48461","Upton County, TX",0.5198
"cty04011","Greenlee County, AZ",0.5195
"cty25025","Suffolk County, MA",0.5194
"cty45065","McCormick County, SC",0.5172
"cty24017","Charles County, MD",0.5162
"cty06067","Sacramento County, CA",0.5157
"cty06073","San Diego County, CA",0.5154
"cty51690","Martinsville city, VA",0.5147
"cty35017","Grant County, NM",0.5136
"cty51153","Prince William County, VA",0.5133
"cty06111","Ventura County, CA",0.5131
"cty28079","Leake County, MS",0.5122
"cty28093","Marshall County, MS",0.5111
"cty28107","Panola County, MS",0.5107
"cty48375","Potter County, TX",0.51
"cty13097","Douglas County, GA",0.5097
"cty48449","Titus County, TX",0.5081
"cty34023","Middlesex County, NJ",0.5077
"cty24031","Montgomery County, MD",0.5073
"cty37195","Wilson County, NC",0.5057
"cty28149","Warren County, MS",0.505
"cty48357","Ochiltree County, TX",0.5048
"cty26163","Wayne County, MI",0.5045
"cty02198","Prince of Wales-Hyder Census Area, AK",0.5042
"cty08003","Alamosa County, CO",0.5036
"cty27087","Mahnomen County, MN",0.5016
"cty06113","Yolo County, CA",0.5009
"cty35007","Colfax County, NM",0.5009
"cty40021","Cherokee County, OK",0.4979
"cty48443","Terrell County, TX",0.497
"cty34011","Cumberland County, NJ",0.4969
"cty13239","Quitman County, GA",0.4966
"cty13051","Chatham County, GA",0.4965
"cty06101","Sutter County, CA",0.4956
"cty48305","Lynn County, TX",0.4955
"cty48453","Travis County, TX",0.4946
"cty48335","Mitchell County, TX",0.4945
"cty37119","Mecklenburg County, NC",0.494
"cty48027","Bell County, TX",0.493
"cty35009","Curry County, NM",0.4926
"cty51181","Surry County, VA",0.4923
"cty28123","Scott County, MS",0.4922
"cty51800","Suffolk city, VA",0.4912
"cty22067","Morehouse Parish, LA",0.4907
"cty13271","Telfair County, GA",0.4892
"cty01035","Conecuh County, AL",0.4887
"cty22125","West Feliciana Parish, LA",0.4879
"cty37107","Lenoir County, NC",0.4875
"cty48437","Swisher County, TX",0.4875
"cty48219","Hockley County, TX",0.4857
"cty28159","Winston County, MS",0.4848
"cty01073","Jefferson County, AL",0.4833
"cty45011","Barnwell County, SC",0.4821
"cty48439","Tarrant County, TX",0.482
"cty13317","Wilkes County, GA",0.4813
"cty13217","Newton County, GA",0.4798
"cty01113","Russell County, AL",0.4789
"cty24039","Somerset County, MD",0.4788
"cty13081","Crisp County, GA",0.4788
"cty08031","Denver County, CO",0.4785
"cty37117","Martin County, NC",0.4781
"cty35015","Eddy County, NM",0.4778
"cty04009","Graham County, AZ",0.4765
"cty13087","Decatur County, GA",0.4751
"cty02150","Kodiak Island Borough, AK",0.4749
"cty13151","Henry County, GA",0.4749
"cty48145","Falls County, TX",0.4749
"cty22037","East Feliciana Parish, LA",0.4737
"cty28147","Walthall County, MS",0.4726
"cty40139","Texas County, OK",0.4724
"cty28097","Montgomery County, MS",0.4719
"cty35035","Otero County, NM",0.4715
"cty37061","Duplin County, NC",0.4708
"cty45017","Calhoun County, SC",0.4689
"cty51670","Hopewell city, VA",0.4686
"cty48329","Midland County, TX",0.468
"cty37163","Sampson County, NC",0.4679
"cty08001","Adams County, CO",0.4679
"cty28017","Chickasaw County, MS",0.4679
"cty48039","Brazoria County, TX",0.4678
"cty28087","Lowndes County, MS",0.4673
"cty13307","Webster County, GA",0.467
"cty37177","Tyrrell County, NC",0.4668
"cty22069","Natchitoches Parish, LA",0.4665
"cty51510","Alexandria city, VA",0.465
"cty35037","Quay County, NM",0.4639
"cty48227","Howard County, TX",0.463
"cty48317","Martin County, TX",0.4628
"cty12057","Hillsborough County, FL",0.4626
"cty28075","Lauderdale County, MS",0.4604
"cty01025","Clarke County, AL",0.4603
"cty13287","Turner County, GA",0.4602
"cty37127","Nash County, NC",0.4598
"cty13009","Baldwin County, GA",0.4597
"cty13165","Jenkins County, GA",0.4595
"cty01013","Butler County, AL",0.4594
"cty48413","Schleicher County, TX",0.4591
"cty08101","Pueblo County, CO",0.459
"cty13251","Screven County, GA",0.4588
"cty05039","Dallas County, AR",0.4587
"cty45041","Florence County, SC",0.4586
"cty08071","Las Animas County, CO",0.4584
"cty20067","Grant County, KS",0.4584
"cty22061","Lincoln Parish, LA",0.4584
"cty48043","Brewster County, TX",0.4572
"cty37081","Guilford County, NC",0.457
"cty55079","Milwaukee County, WI",0.4566
"cty51131","Northampton County, VA",0.4548
"cty34021","Mercer County, NJ",0.4546
"cty51059","Fairfax County, VA",0.454
"cty37017","Bladen County, NC",0.4532
"cty22013","Bienville Parish, LA",0.4531
"cty01099","Monroe County, AL",0.4529
"cty48187","Guadalupe County, TX",0.452
"cty13133","Greene County, GA",0.4516
"cty12047","Hamilton County, FL",0.451
"cty37139","Pasquotank County, NC",0.4499
"cty48195","Hansford County, TX",0.4498
