"cty","Name","Fraction_Non-White_in_2010"
"cty47119","Maury County, TN",0.1981
"cty40059","Harper County, OK",0.1976
"cty36109","Tompkins County, NY",0.1976
"cty01027","Clay County, AL",0.1971
"cty13117","Forsyth County, GA",0.197
"cty25021","Norfolk County, MA",0.1969
"cty20103","Leavenworth County, KS",0.1968
"cty24047","Worcester County, MD",0.1967
"cty51127","New Kent County, VA",0.1967
"cty12085","Martin County, FL",0.1967
"cty08067","La Plata County, CO",0.1965
"cty17183","Vermilion County, IL",0.1964
"cty18157","Tippecanoe County, IN",0.1963
"cty08043","Fremont County, CO",0.196
"cty48457","Tyler County, TX",0.1957
"cty13137","Habersham County, GA",0.1956
"cty40047","Garfield County, OK",0.1954
"cty22123","West Carroll Parish, LA",0.1954
"cty41053","Polk County, OR",0.195
"cty51570","Colonial Heights city, VA",0.1948
"cty25019","Nantucket County, MA",0.1947
"cty20047","Edwards County, KS",0.1946
"cty22103","St. Tammany Parish, LA",0.1943
"cty22011","Beauregard Parish, LA",0.1942
"cty40067","Jefferson County, OK",0.1941
"cty46101","Moody County, SD",0.1941
"cty48237","Jack County, TX",0.1941
"cty42003","Allegheny County, PA",0.1938
"cty48503","Young County, TX",0.1936
"cty25027","Worcester County, MA",0.1932
"cty48035","Bosque County, TX",0.1928
"cty19153","Polk County, IA",0.1926
"cty51137","Orange County, VA",0.1926
"cty19139","Muscatine County, IA",0.1925
"cty12075","Levy County, FL",0.1922
"cty56021","Laramie County, WY",0.192
"cty37019","Brunswick County, NC",0.1919
"cty48213","Henderson County, TX",0.1915
"cty56037","Sweetwater County, WY",0.1912
"cty48147","Fannin County, TX",0.1911
"cty48019","Bandera County, TX",0.1908
"cty20125","Montgomery County, KS",0.1906
"cty48433","Stonewall County, TX",0.1906
"cty29019","Boone County, MO",0.1904
"cty40087","McClain County, OK",0.1902
"cty47045","Dyer County, TN",0.1902
"cty13103","Effingham County, GA",0.1902
"cty42095","Northampton County, PA",0.19
"cty21211","Shelby County, KY",0.19
"cty29119","McDonald County, MO",0.1899
"cty48455","Trinity County, TX",0.1896
"cty34015","Gloucester County, NJ",0.1894
"cty41035","Klamath County, OR",0.1892
"cty01021","Chilton County, AL",0.189
"cty48159","Franklin County, TX",0.189
"cty29143","New Madrid County, MO",0.1886
"cty37029","Camden County, NC",0.1881
"cty37151","Randolph County, NC",0.1873
"cty16075","Payette County, ID",0.1872
"cty13057","Cherokee County, GA",0.1871
"cty51031","Campbell County, VA",0.1868
"cty48155","Foard County, TX",0.1864
"cty18091","LaPorte County, IN",0.1864
"cty53027","Grays Harbor County, WA",0.1857
"cty37099","Jackson County, NC",0.1856
"cty16081","Teton County, ID",0.1853
"cty48333","Mills County, TX",0.1848
"cty01049","DeKalb County, AL",0.1844
"cty21227","Warren County, KY",0.1844
"cty46103","Pennington County, SD",0.1834
"cty20045","Douglas County, KS",0.1831
"cty36111","Ulster County, NY",0.183
"cty19115","Louisa County, IA",0.1825
"cty53011","Clark County, WA",0.1824
"cty51125","Nelson County, VA",0.1822
"cty55025","Dane County, WI",0.1815
"cty53073","Whatcom County, WA",0.1813
"cty17113","McLean County, IL",0.1813
"cty06109","Tuolumne County, CA",0.1813
"cty51061","Fauquier County, VA",0.1809
"cty37057","Davidson County, NC",0.1805
"cty04025","Yavapai County, AZ",0.1804
"cty20091","Johnson County, KS",0.1803
"cty48459","Upshur County, TX",0.1794
"cty12053","Hernando County, FL",0.179
"cty42029","Chester County, PA",0.179
"cty53075","Whitman County, WA",0.179
"cty20169","Saline County, KS",0.1787
"cty20035","Cowley County, KS",0.1784
"cty55041","Forest County, WI",0.1782
"cty48133","Eastland County, TX",0.1782
"cty56039","Teton County, WY",0.1779
"cty20119","Meade County, KS",0.1779
"cty02100","Haines Borough, AK",0.1778
"cty28109","Pearl River County, MS",0.1777
"cty46129","Walworth County, SD",0.1776
"cty30073","Pondera County, MT",0.1776
"cty27037","Dakota County, MN",0.1771
"cty37167","Stanly County, NC",0.1767
"cty06089","Shasta County, CA",0.1759
"cty05045","Faulkner County, AR",0.1758
"cty05029","Conway County, AR",0.1758
"cty12003","Baker County, FL",0.1756
"cty51678","Lexington city, VA",0.1754
"cty51790","Staunton city, VA",0.1753
"cty39003","Allen County, OH",0.1751
"cty40137","Stephens County, OK",0.1748
"cty17167","Sangamon County, IL",0.1746
"cty36033","Franklin County, NY",0.1736
"cty26159","Van Buren County, MI",0.1735
"cty16083","Twin Falls County, ID",0.1734
"cty08117","Summit County, CO",0.1728
"cty08081","Moffat County, CO",0.1727
"cty02170","Matanuska-Susitna Borough, AK",0.1721
"cty12119","Sumter County, FL",0.1721
"cty48359","Oldham County, TX",0.172
"cty48263","Kent County, TX",0.172
"cty02122","Kenai Peninsula Borough, AK",0.1719
"cty40153","Woodward County, OK",0.1718
"cty51145","Powhatan County, VA",0.1717
"cty46123","Tripp County, SD",0.1715
"cty49047","Uintah County, UT",0.1715
"cty19163","Scott County, IA",0.1715
"cty42103","Pike County, PA",0.1712
"cty47063","Hamblen County, TN",0.171
"cty29069","Dunklin County, MO",0.1707
"cty53045","Mason County, WA",0.1705
"cty36079","Putnam County, NY",0.1705
"cty48361","Orange County, TX",0.1704
"cty08029","Delta County, CO",0.1702
"cty13055","Chattooga County, GA",0.1701
"cty20171","Scott County, KS",0.17
"cty37023","Burke County, NC",0.1698
"cty53029","Island County, WA",0.1694
"cty19103","Johnson County, IA",0.169
"cty08077","Mesa County, CO",0.1689
"cty51580","Covington city, VA",0.1688
"cty32005","Douglas County, NV",0.1682
"cty48119","Delta County, TX",0.1682
"cty29195","Saline County, MO",0.1681
"cty13019","Berrien County, GA",0.1678
"cty29051","Cole County, MO",0.1677
"cty21073","Franklin County, KY",0.1676
"cty06043","Mariposa County, CA",0.1676
"cty40103","Noble County, OK",0.1674
"cty24043","Washington County, MD",0.1674
"cty31119","Madison County, NE",0.1667
"cty31161","Sheridan County, NE",0.1664
"cty27109","Olmsted County, MN",0.1657
"cty20009","Barton County, KS",0.1656
"cty31097","Johnson County, NE",0.1652
"cty01003","Baldwin County, AL",0.165
"cty05071","Johnson County, AR",0.1649
"cty06009","Calaveras County, CA",0.1646
"cty06105","Trinity County, CA",0.1645
"cty41003","Benton County, OR",0.1639
"cty40051","Grady County, OK",0.1636
"cty32011","Eureka County, NV",0.1636
"cty26127","Oceana County, MI",0.1635
"cty41029","Jackson County, OR",0.1633
"cty19171","Tama County, IA",0.1628
"cty18017","Cass County, IN",0.1628
"cty48345","Motley County, TX",0.1628
"cty55009","Brown County, WI",0.1625
"cty17111","McHenry County, IL",0.1625
"cty28117","Prentiss County, MS",0.1624
"cty55003","Ashland County, WI",0.1623
"cty53039","Klickitat County, WA",0.1622
"cty13157","Jackson County, GA",0.1619
"cty31153","Sarpy County, NE",0.1618
"cty47093","Knox County, TN",0.1611
"cty56043","Washakie County, WY",0.1611
"cty19013","Black Hawk County, IA",0.1611
"cty26099","Macomb County, MI",0.1609
"cty01095","Marshall County, AL",0.1608
"cty25023","Plymouth County, MA",0.1608
"cty21145","McCracken County, KY",0.1608
"cty05051","Garland County, AR",0.1604
"cty05015","Carroll County, AR",0.1597
"cty20013","Brown County, KS",0.1596
"cty13257","Stephens County, GA",0.1593
"cty29047","Clay County, MO",0.1592
"cty01039","Covington County, AL",0.1592
"cty20069","Gray County, KS",0.1592
"cty22059","LaSalle Parish, LA",0.1592
"cty48033","Borden County, TX",0.1591
"cty49019","Grand County, UT",0.1589
"cty29165","Platte County, MO",0.1588
"cty49007","Carbon County, UT",0.1587
"cty05059","Hot Spring County, AR",0.1586
"cty37161","Rutherford County, NC",0.1586
"cty49049","Utah County, UT",0.1585
"cty27099","Mower County, MN",0.158
"cty49051","Wasatch County, UT",0.1578
"cty39017","Butler County, OH",0.1574
"cty31141","Platte County, NE",0.1573
"cty21225","Union County, KY",0.1568
"cty31109","Lancaster County, NE",0.1566
"cty38025","Dunn County, ND",0.1561
"cty31123","Morrill County, NE",0.1559
"cty41041","Lincoln County, OR",0.1558
"cty37089","Henderson County, NC",0.1558
"cty37021","Buncombe County, NC",0.1556
"cty08069","Larimer County, CO",0.1555
"cty48023","Baylor County, TX",0.1554
"cty49045","Tooele County, UT",0.1553
"cty41005","Clackamas County, OR",0.1552
"cty28003","Alcorn County, MS",0.155
"cty27139","Scott County, MN",0.1548
"cty55105","Rock County, WI",0.1547
"cty13229","Pierce County, GA",0.1545
"cty40081","Lincoln County, OK",0.1543
"cty20079","Harvey County, KS",0.1543
"cty46091","Marshall County, SD",0.1542
"cty31013","Box Butte County, NE",0.1542
"cty53009","Clallam County, WA",0.1541
"cty53049","Pacific County, WA",0.154
"cty48269","King County, TX",0.1538
"cty41039","Lane County, OR",0.1533
"cty20071","Greeley County, KS",0.1532
"cty49027","Millard County, UT",0.1531
"cty01061","Geneva County, AL",0.153
"cty47147","Robertson County, TN",0.1527
"cty36065","Oneida County, NY",0.1517
"cty56001","Albany County, WY",0.1516
"cty12115","Sarasota County, FL",0.1515
"cty47131","Obion County, TN",0.1515
"cty29201","Scott County, MO",0.1514
"cty42071","Lancaster County, PA",0.1511
"cty48499","Wood County, TX",0.151
"cty39043","Erie County, OH",0.1507
"cty26045","Eaton County, MI",0.1505
"cty13213","Murray County, GA",0.1504
"cty37171","Surry County, NC",0.1501
"cty46065","Hughes County, SD",0.1499
"cty12113","Santa Rosa County, FL",0.1496
"cty06063","Plumas County, CA",0.1495
"cty39057","Greene County, OH",0.1494
"cty27131","Rice County, MN",0.1493
"cty36057","Montgomery County, NY",0.1491
"cty05025","Cleveland County, AR",0.149
"cty17177","Stephenson County, IL",0.1488
"cty08111","San Juan County, CO",0.1488
"cty16043","Fremont County, ID",0.1487
"cty12131","Walton County, FL",0.1487
"cty27067","Kandiyohi County, MN",0.1486
"cty18019","Clark County, IN",0.1483
"cty54037","Jefferson County, WV",0.1483
"cty18163","Vanderburgh County, IN",0.1481
"cty21017","Bourbon County, KY",0.148
"cty27003","Anoka County, MN",0.1478
"cty08035","Douglas County, CO",0.1477
"cty42119","Union County, PA",0.1476
"cty16019","Bonneville County, ID",0.1474
"cty48367","Parker County, TX",0.1473
"cty39023","Clark County, OH",0.1472
"cty16009","Benewah County, ID",0.1471
"cty17095","Knox County, IL",0.1471
"cty48129","Donley County, TX",0.1471
"cty18023","Clinton County, IN",0.1467
"cty27021","Cass County, MN",0.1465
"cty12109","St. Johns County, FL",0.1465
"cty05127","Scott County, AR",0.1465
"cty49043","Summit County, UT",0.1462
"cty09015","Windham County, CT",0.146
"cty01077","Lauderdale County, AL",0.1454
"cty20099","Labette County, KS",0.1453
"cty49005","Cache County, UT",0.1453
"cty37059","Davie County, NC",0.1451
"cty51085","Hanover County, VA",0.1449
"cty26003","Alger County, MI",0.1446
"cty47055","Giles County, TN",0.1446
"cty08115","Sedgwick County, CO",0.1442
"cty25005","Bristol County, MA",0.144
"cty51113","Madison County, VA",0.1438
"cty49053","Washington County, UT",0.1436
"cty13119","Franklin County, GA",0.1436
"cty36083","Rensselaer County, NY",0.1435
"cty29063","DeKalb County, MO",0.1433
"cty51073","Gloucester County, VA",0.1431
"cty27163","Washington County, MN",0.1429
"cty05117","Prairie County, AR",0.1429
"cty34041","Warren County, NJ",0.1429
"cty26139","Ottawa County, MI",0.1427
"cty13195","Madison County, GA",0.1427
"cty47017","Carroll County, TN",0.1426
"cty48467","Van Zandt County, TX",0.1425
"cty36045","Jefferson County, NY",0.1424
"cty53015","Cowlitz County, WA",0.1424
"cty20185","Stafford County, KS",0.1424
"cty26085","Lake County, MI",0.1423
"cty51079","Greene County, VA",0.1423
"cty37109","Lincoln County, NC",0.1422
"cty51750","Radford city, VA",0.1422
"cty54003","Berkeley County, WV",0.142
"cty49011","Davis County, UT",0.1417
"cty46005","Beadle County, SD",0.1416
"cty20085","Jackson County, KS",0.1414
"cty26075","Jackson County, MI",0.1414
"cty40149","Washita County, OK",0.141
"cty51121","Montgomery County, VA",0.1409
"cty47169","Trousdale County, TN",0.1409
"cty45073","Oconee County, SC",0.1409
"cty17195","Whiteside County, IL",0.1408
"cty18127","Porter County, IN",0.1406
"cty34029","Ocean County, NJ",0.1405
"cty37197","Yadkin County, NC",0.1402
"cty53041","Lewis County, WA",0.1401
"cty40043","Dewey County, OK",0.1401
"cty49001","Beaver County, UT",0.1401
"cty01057","Fayette County, AL",0.1397
"cty12015","Charlotte County, FL",0.1397
"cty29097","Jasper County, MO",0.1396
"cty53037","Kittitas County, WA",0.1393
"cty17101","Lawrence County, IL",0.1391
"cty20155","Reno County, KS",0.139
"cty13149","Heard County, GA",0.1389
"cty20159","Rice County, KS",0.1388
"cty01075","Lamar County, AL",0.1388
"cty18105","Monroe County, IN",0.1387
"cty42133","York County, PA",0.1384
"cty30071","Phillips County, MT",0.1383
"cty25015","Hampshire County, MA",0.1381
"cty39143","Sandusky County, OH",0.1381
"cty21213","Simpson County, KY",0.1377
"cty46099","Minnehaha County, SD",0.1375
"cty29021","Buchanan County, MO",0.1375
"cty13219","Oconee County, GA",0.1372
"cty18095","Madison County, IN",0.1372
"cty36007","Broome County, NY",0.1372
"cty55007","Bayfield County, WI",0.1371
"cty20145","Pawnee County, KS",0.137
"cty28045","Hancock County, MS",0.1369
"cty19101","Jefferson County, IA",0.1368
"cty51069","Frederick County, VA",0.1368
"cty25007","Dukes County, MA",0.1367
"cty08103","Rio Blanco County, CO",0.1365
"cty30105","Valley County, MT",0.1364
"cty16005","Bannock County, ID",0.1361
"cty09007","Middlesex County, CT",0.136
"cty21239","Woodford County, KY",0.1357
"cty18057","Hamilton County, IN",0.1357
"cty17157","Randolph County, IL",0.1357
"cty16001","Ada County, ID",0.1352
"cty42049","Erie County, PA",0.1347
"cty39139","Richland County, OH",0.1346
"cty18053","Grant County, IN",0.1346
"cty55125","Vilas County, WI",0.1346
"cty06057","Nevada County, CA",0.1345
"cty40151","Woods County, OK",0.1345
"cty08015","Chaffee County, CO",0.1343
"cty12029","Dixie County, FL",0.1341
"cty47023","Chester County, TN",0.1339
"cty49039","Sanpete County, UT",0.1335
"cty21219","Todd County, KY",0.1335
"cty47187","Williamson County, TN",0.1333
"cty27029","Clearwater County, MN",0.1332
"cty53063","Spokane County, WA",0.1328
"cty17119","Madison County, IL",0.1328
"cty41057","Tillamook County, OR",0.1326
"cty18167","Vigo County, IN",0.1326
"cty20181","Sherman County, KS",0.1324
"cty55127","Walworth County, WI",0.1324
"cty47117","Marshall County, TN",0.1323
"cty13231","Pike County, GA",0.1322
"cty05033","Crawford County, AR",0.132
"cty42075","Lebanon County, PA",0.1315
"cty42017","Bucks County, PA",0.1312
"cty21021","Boyle County, KY",0.1311
"cty05115","Pope County, AR",0.131
"cty34009","Cape May County, NJ",0.131
"cty19169","Story County, IA",0.131
"cty41011","Coos County, OR",0.1304
"cty47165","Sumner County, TN",0.1304
"cty29159","Pettis County, MO",0.1303
"cty18005","Bartholomew County, IN",0.1299
"cty55117","Sheboygan County, WI",0.1297
"cty41043","Linn County, OR",0.1294
"cty36039","Greene County, NY",0.1293
"cty17145","Perry County, IL",0.1292
"cty41037","Lake County, OR",0.1292
"cty49013","Duchesne County, UT",0.1288
"cty18067","Howard County, IN",0.1288
"cty48221","Hood County, TX",0.1288
"cty49021","Iron County, UT",0.1286
"cty26153","Schoolcraft County, MI",0.1286
"cty38071","Ramsey County, ND",0.1285
"cty41007","Clatsop County, OR",0.1281
"cty45077","Pickens County, SC",0.128
"cty47177","Warren County, TN",0.128
"cty21155","Marion County, KY",0.1279
"cty01115","St. Clair County, AL",0.1274
"cty40003","Alfalfa County, OK",0.1274
"cty36063","Niagara County, NY",0.1273
"cty51115","Mathews County, VA",0.1273
"cty51775","Salem city, VA",0.127
"cty40129","Roger Mills County, OK",0.127
"cty24035","Queen Anne's County, MD",0.1269
"cty17081","Jefferson County, IL",0.1264
"cty46047","Fall River County, SD",0.1262
"cty51067","Franklin County, VA",0.1262
"cty24015","Cecil County, MD",0.1262
"cty26027","Cass County, MI",0.126
"cty19069","Franklin County, IA",0.126
"cty37031","Carteret County, NC",0.1259
"cty36015","Chemung County, NY",0.1259
"cty30013","Cascade County, MT",0.1258
"cty08057","Jackson County, CO",0.1255
"cty26057","Gratiot County, MI",0.1255
"cty19179","Wapello County, IA",0.1254
"cty27031","Cook County, MN",0.1252
"cty47189","Wilson County, TN",0.1252
"cty26073","Isabella County, MI",0.1251
"cty09013","Tolland County, CT",0.1251
"cty48379","Rains County, TX",0.1247
"cty48403","Sabine County, TX",0.1246
"cty31053","Dodge County, NE",0.1246
"cty27083","Lyon County, MN",0.1245
"cty26091","Lenawee County, MI",0.1242
"cty46037","Day County, SD",0.1236
"cty33011","Hillsborough County, NH",0.1235
"cty47183","Weakley County, TN",0.1235
"cty48417","Shackelford County, TX",0.1234
"cty21105","Hickman County, KY",0.1232
"cty29145","Newton County, MO",0.123
"cty16051","Jefferson County, ID",0.123
"cty08009","Baca County, CO",0.1228
"cty39151","Stark County, OH",0.1227
"cty17107","Logan County, IL",0.1227
"cty34019","Hunterdon County, NJ",0.1226
"cty31045","Dawes County, NE",0.1224
"cty27005","Becker County, MN",0.122
"cty54081","Raleigh County, WV",0.1219
"cty36073","Orleans County, NY",0.1218
"cty46015","Brule County, SD",0.1218
"cty37003","Alexander County, NC",0.1217
"cty21083","Graves County, KY",0.1216
"cty21209","Scott County, KY",0.1215
"cty12089","Nassau County, FL",0.1215
"cty08097","Pitkin County, CO",0.1214
"cty12041","Gilchrist County, FL",0.1214
"cty17087","Johnson County, IL",0.1213
"cty44005","Newport County, RI",0.1213
"cty51720","Norton city, VA",0.1213
"cty53065","Stevens County, WA",0.1211
"cty32017","Lincoln County, NV",0.121
"cty29031","Cape Girardeau County, MO",0.1208
"cty27127","Redwood County, MN",0.1208
"cty05085","Lonoke County, AR",0.1207
"cty56015","Goshen County, WY",0.1206
"cty42027","Centre County, PA",0.1205
"cty55053","Jackson County, WI",0.1204
"cty48337","Montague County, TX",0.1203
"cty26149","St. Joseph County, MI",0.1202
"cty39039","Defiance County, OH",0.1202
"cty48193","Hamilton County, TX",0.12
"cty17187","Warren County, IL",0.12
"cty31029","Chase County, NE",0.1198
"cty48199","Hardin County, TX",0.1198
"cty08017","Cheyenne County, CO",0.1193
"cty40093","Major County, OK",0.1193
"cty32029","Storey County, NV",0.1192
"cty55115","Shawano County, WI",0.1191
"cty06091","Sierra County, CA",0.1188
"cty47103","Lincoln County, TN",0.1187
"cty18035","Delaware County, IN",0.1186
"cty39155","Trumbull County, OH",0.1185
"cty21101","Henderson County, KY",0.1184
"cty29101","Johnson County, MO",0.1184
"cty47077","Henderson County, TN",0.1184
"cty24001","Allegany County, MD",0.1184
"cty30111","Yellowstone County, MT",0.1183
"cty42079","Luzerne County, PA",0.118
"cty47079","Henry County, TN",0.1178
"cty31051","Dixon County, NE",0.1178
"cty36021","Columbia County, NY",0.1177
"cty05109","Pike County, AR",0.1176
"cty20053","Ellsworth County, KS",0.1176
"cty49003","Box Elder County, UT",0.1174
"cty51043","Clarke County, VA",0.1174
"cty17099","LaSalle County, IL",0.1174
"cty17103","Lee County, IL",0.1168
"cty31107","Knox County, NE",0.1164
"cty39041","Delaware County, OH",0.1162
"cty37149","Polk County, NC",0.1162
"cty02068","Denali Borough, AK",0.1161
"cty19039","Clarke County, IA",0.1161
"cty21221","Trigg County, KY",0.116
"cty37005","Alleghany County, NC",0.1159
"cty41017","Deschutes County, OR",0.1158
"cty38099","Walsh County, ND",0.1156
"cty18063","Hendricks County, IN",0.1154
"cty31001","Adams County, NE",0.1153
"cty29009","Barry County, MO",0.115
"cty47011","Bradley County, TN",0.1149
"cty08113","San Miguel County, CO",0.1148
"cty56041","Uinta County, WY",0.1147
"cty48065","Carson County, TX",0.1147
"cty48447","Throckmorton County, TX",0.1146
"cty54039","Kanawha County, WV",0.1144
"cty21041","Carroll County, KY",0.1143
"cty18113","Noble County, IN",0.1143
"cty29007","Audrain County, MO",0.1142
"cty37027","Caldwell County, NC",0.114
"cty41033","Josephine County, OR",0.1139
"cty37055","Dare County, NC",0.1138
"cty28039","George County, MS",0.1138
"cty27047","Freeborn County, MN",0.1137
"cty51161","Roanoke County, VA",0.1136
"cty13123","Gilmer County, GA",0.1136
"cty38035","Grand Forks County, ND",0.1135
"cty19049","Dallas County, IA",0.1135
"cty17141","Ogle County, IL",0.1135
"cty37053","Currituck County, NC",0.1134
"cty41015","Curry County, OR",0.113
"cty38101","Ward County, ND",0.1128
"cty16069","Nez Perce County, ID",0.1128
"cty19197","Wright County, IA",0.1127
"cty51187","Warren County, VA",0.1126
"cty34037","Sussex County, NJ",0.1124
"cty21229","Washington County, KY",0.1123
"cty54047","McDowell County, WV",0.112
"cty20025","Clark County, KS",0.112
"cty37193","Wilkes County, NC",0.1118
"cty17109","McDonough County, IL",0.1114
"cty37111","McDowell County, NC",0.1114
"cty01009","Blount County, AL",0.1111
"cty13241","Rabun County, GA",0.1111
"cty27017","Carlton County, MN",0.111
"cty46009","Bon Homme County, SD",0.111
"cty17005","Bond County, IL",0.1109
"cty16061","Lewis County, ID",0.1107
"cty12059","Holmes County, FL",0.1107
"cty56005","Campbell County, WY",0.1106
"cty46069","Hyde County, SD",0.1106
"cty17063","Grundy County, IL",0.1106
"cty05125","Saline County, AR",0.1103
"cty27147","Steele County, MN",0.1102
"cty18177","Wayne County, IN",0.1102
"cty39165","Warren County, OH",0.11
"cty05111","Poinsett County, AR",0.1099
"cty20037","Crawford County, KS",0.1097
"cty56025","Natrona County, WY",0.1095
"cty51019","Bedford County, VA",0.1094
"cty29183","St. Charles County, MO",0.1093
"cty48059","Callahan County, TX",0.1092
"cty16045","Gem County, ID",0.1089
"cty08051","Gunnison County, CO",0.1087
"cty26067","Ionia County, MI",0.1086
"cty18043","Floyd County, IN",0.1082
"cty21185","Oldham County, KY",0.1081
"cty21141","Logan County, KY",0.1081
"cty21159","Martin County, KY",0.108
"cty39045","Fairfield County, OH",0.108
"cty29163","Pike County, MO",0.1079
"cty31019","Buffalo County, NE",0.1079
"cty13125","Glascock County, GA",0.1077
"cty20021","Cherokee County, KS",0.1075
"cty27033","Cottonwood County, MN",0.1074
"cty19113","Linn County, IA",0.1072
"cty19167","Sioux County, IA",0.1072
"cty36013","Chautauqua County, NY",0.1071
"cty53031","Jefferson County, WA",0.1068
"cty46053","Gregory County, SD",0.1061
"cty21107","Hopkins County, KY",0.1061
"cty19057","Des Moines County, IA",0.1058
"cty41013","Crook County, OR",0.1058
"cty56003","Big Horn County, WY",0.1057
"cty42041","Cumberland County, PA",0.1057
"cty08121","Washington County, CO",0.1055
"cty18099","Marshall County, IN",0.1053
"cty41019","Douglas County, OR",0.1052
"cty53013","Columbia County, WA",0.1052
"cty29053","Cooper County, MO",0.1049
"cty20005","Atchison County, KS",0.1047
"cty29077","Greene County, MO",0.1046
"cty29037","Cass County, MO",0.1045
"cty46117","Stanley County, SD",0.1045
"cty05145","White County, AR",0.1044
"cty41025","Harney County, OR",0.1043
"cty12017","Citrus County, FL",0.104
"cty17105","Livingston County, IL",0.1039
"cty55087","Outagamie County, WI",0.1037
"cty53059","Skamania County, WA",0.1037
"cty37075","Graham County, NC",0.1037
"cty48299","Llano County, TX",0.1035
"cty42069","Lackawanna County, PA",0.1035
"cty21161","Mason County, KY",0.1031
"cty08049","Grand County, CO",0.1031
"cty20019","Chautauqua County, KS",0.103
"cty26005","Allegan County, MI",0.1029
"cty54061","Monongalia County, WV",0.1028
"cty47051","Franklin County, TN",0.1026
"cty19155","Pottawattamie County, IA",0.1025
"cty05113","Polk County, AR",0.1023
"cty39097","Madison County, OH",0.1022
"cty21117","Kenton County, KY",0.102
"cty05063","Independence County, AR",0.1019
"cty21233","Webster County, KY",0.1019
"cty53051","Pend Oreille County, WA",0.1018
"cty39101","Marion County, OH",0.1018
"cty17127","Massac County, IL",0.1017
"cty13011","Banks County, GA",0.1016
"cty17137","Morgan County, IL",0.1016
"cty18085","Kosciusko County, IN",0.1012
"cty47141","Putnam County, TN",0.1005
"cty51530","Buena Vista city, VA",0.1005
"cty29175","Randolph County, MO",0.1003
"cty17011","Bureau County, IL",0.1002
"cty29023","Butler County, MO",0.1002
"cty31031","Cherry County, NE",0.1001
"cty19187","Webster County, IA",0.1
"cty21059","Daviess County, KY",0.0998
"cty21015","Boone County, KY",0.0998
"cty47031","Coffee County, TN",0.0996
"cty46027","Clay County, SD",0.0995
"cty19087","Henry County, IA",0.0995
"cty01071","Jackson County, AL",0.0994
"cty39173","Wood County, OH",0.0993
"cty37011","Avery County, NC",0.0993
"cty02230","Skagway Municipality, AK",0.0992
"cty22063","Livingston Parish, LA",0.0989
"cty39141","Ross County, OH",0.0985
"cty47105","Loudon County, TN",0.0984
"cty27119","Polk County, MN",0.0982
"cty47179","Washington County, TN",0.0982
"cty37113","Macon County, NC",0.098
"cty51141","Patrick County, VA",0.0979
"cty51171","Shenandoah County, VA",0.0978
"cty53055","San Juan County, WA",0.0977
"cty42055","Franklin County, PA",0.0977
"cty31111","Lincoln County, NE",0.0977
"cty51157","Rappahannock County, VA",0.0977
"cty46093","Meade County, SD",0.0976
"cty16025","Camas County, ID",0.0976
"cty36121","Wyoming County, NY",0.0976
"cty55073","Marathon County, WI",0.0974
"cty18103","Miami County, IN",0.0974
"cty51520","Bristol city, VA",0.0973
"cty41009","Columbia County, OR",0.097
"cty39051","Fulton County, OH",0.0967
"cty29161","Phelps County, MO",0.0966
"cty27095","Mille Lacs County, MN",0.0964
"cty47043","Dickson County, TN",0.0964
"cty56035","Sublette County, WY",0.0963
"cty48009","Archer County, TX",0.0963
"cty01127","Walker County, AL",0.096
"cty30101","Toole County, MT",0.096
"cty21151","Madison County, KY",0.0959
"cty30089","Sanders County, MT",0.0958
"cty42007","Beaver County, PA",0.0958
"cty21147","McCreary County, KY",0.0955
"cty27161","Waseca County, MN",0.0955
"cty47107","McMinn County, TN",0.0955
"cty19063","Emmet County, IA",0.0954
"cty38017","Cass County, ND",0.0951
"cty27115","Pine County, MN",0.095
"cty31039","Cuming County, NE",0.095
"cty26037","Clinton County, MI",0.0947
"cty48393","Roberts County, TX",0.0947
"cty21035","Calloway County, KY",0.0946
"cty38055","McLean County, ND",0.0945
"cty40045","Ellis County, OK",0.0944
"cty27145","Stearns County, MN",0.0944
"cty42001","Adams County, PA",0.0944
"cty27027","Clay County, MN",0.0943
"cty55133","Waukesha County, WI",0.0943
"cty08119","Teller County, CO",0.0943
"cty21163","Meade County, KY",0.0943
"cty26101","Manistee County, MI",0.0942
"cty31105","Kimball County, NE",0.0942
"cty16057","Latah County, ID",0.0939
"cty25003","Berkshire County, MA",0.0937
"cty08107","Routt County, CO",0.0935
"cty27019","Carver County, MN",0.0934
"cty47041","DeKalb County, TN",0.0931
"cty47001","Anderson County, TN",0.0931
"cty55055","Jefferson County, WI",0.093
"cty41069","Wheeler County, OR",0.093
"cty17151","Pope County, IL",0.0928
"cty55139","Winnebago County, WI",0.0927
"cty29135","Moniteau County, MO",0.0927
"cty48011","Armstrong County, TX",0.0926
"cty20065","Graham County, KS",0.0924
"cty36099","Seneca County, NY",0.0923
"cty39009","Athens County, OH",0.0923
"cty39007","Ashtabula County, OH",0.0923
"cty39063","Hancock County, OH",0.0922
"cty31033","Cheyenne County, NE",0.0919
"cty31035","Clay County, NE",0.0919
"cty37175","Transylvania County, NC",0.0919
"cty39085","Lake County, OH",0.0915
"cty54011","Cabell County, WV",0.0914
"cty27143","Sibley County, MN",0.0914
"cty26023","Branch County, MI",0.0913
"cty41061","Union County, OR",0.0909
"cty38105","Williams County, ND",0.0908
"cty08047","Gilpin County, CO",0.0908
"cty21179","Nelson County, KY",0.0907
"cty08033","Dolores County, CO",0.0906
